Team Name,Division,Rating,Mean,Alpha,RMSE
Cleveland,0,74,0.484,0.69,0.114
Orlando,0,72,0.49,0.5,0.1
LA Lakers,0,69,0.662,0.498,0.094
Dallas,0,67,0.496,0.0867,0.114
Phoenix,0,65,0.592,0.311,0.115
Atlanta,0,64,0.5,0.596,0.107
Denver,0,64,0.465,0.594,0.116
Utah,0,64,0.573,0.882,0.081
Boston,0,61,0.575,0.648,0.13
Portland,0,61,0.564,0.634,0.088
San Antonio,1,61,0.603,0.411,0.133
Oklahoma City,1,61,0.54,0.559,0.113
Miami,1,57,0.4,0.8,0.126
Milwaukee,1,56,0.507,0.702,0.094
Charlotte,1,53,0.49,0.5,0.1
Houston,1,51,0.541,0.161,0.113
Chicago,1,50,0.509,0.693,0.139
Memphis,1,48,0.49,0.5,0.1
Toronto,1,48,0.488,0.5,0.1
New Orleans,1,45,0.48,0.5,0.1
Indiana,2,39,0.494,0.622,0.0975
New York,2,35,0.49,0.603,0.11
LA Clippers,2,35,0.346,0.403,0.105
Detroit,2,32,0.542,0.712,0.121
Philadelphia,2,32,0.516,0.834,0.097
Washington,2,31,0.42,0.419,0.092
Golden State,2,31,0.41,0.135,0.12
Sacramento,2,30,0.449,0.759,0.095
Minnesota,2,18,0.48,0.5,0.1
New Jersey,2,14,0.404,0.496,0.116
